Training Start Time: 2024-06-26 20:58:06.941044
Config: {'neurons': [118, 110], 'batch_size': 29, 'val_split': 0.11785510464034084}, MAE: 0.0009724190668327956
Config: {'neurons': [120, 112], 'batch_size': 14, 'val_split': 0.19775493064791336}, MAE: 0.0034722879555057723
Config: {'neurons': [122, 114], 'batch_size': 27, 'val_split': 0.10894496215639937}, MAE: 0.0003096890433766139
Config: {'neurons': [124, 116], 'batch_size': 33, 'val_split': 0.15693869166290134}, MAE: 0.0017564165827303848
Config: {'neurons': [126, 118], 'batch_size': 17, 'val_split': 0.09862431109711815}, MAE: 0.001923099154678174
Config: {'neurons': [128, 120], 'batch_size': 31, 'val_split': 0.022927565024365937}, MAE: 0.0001561990861544817
Config: {'neurons': [130, 122], 'batch_size': 27, 'val_split': 0.15563680903978153}, MAE: 0.00010748348255598
Config: {'neurons': [132, 124], 'batch_size': 28, 'val_split': 0.051532087301262935}, MAE: 0.0016030795339981908
Config: {'neurons': [134, 126], 'batch_size': 13, 'val_split': 0.13468213705768034}, MAE: 0.001402073188459645
Config: {'neurons': [136, 128], 'batch_size': 29, 'val_split': 0.18877389312665369}, MAE: 0.0004632072730882533
New best model saved with MAE: 7.461613229153509e-05 at best_model.h5
Config: {'neurons': [138, 130], 'batch_size': 31, 'val_split': 0.1363061748347114}, MAE: 0.003604581286068563
Config: {'neurons': [140, 132], 'batch_size': 27, 'val_split': 0.13480445718728035}, MAE: 0.00015438876162286733
Config: {'neurons': [142, 134], 'batch_size': 24, 'val_split': 0.14710124806726607}, MAE: 0.0018716291483658854
Config: {'neurons': [144, 136], 'batch_size': 23, 'val_split': 0.12746280175775512}, MAE: 0.003208725094417909
Config: {'neurons': [146, 138], 'batch_size': 24, 'val_split': 0.048050637981802174}, MAE: 0.0003312552173154533
Config: {'neurons': [148, 140], 'batch_size': 17, 'val_split': 0.044697990922639486}, MAE: 0.00017888063686820086
Config: {'neurons': [150, 142], 'batch_size': 29, 'val_split': 0.13104982429106032}, MAE: 0.0024556193359118743
Config: {'neurons': [152, 144], 'batch_size': 28, 'val_split': 0.10506944053847252}, MAE: 0.0002250918309221772
New best model saved with MAE: 7.319120113425018e-05 at best_model.h5
Config: {'neurons': [154, 146], 'batch_size': 30, 'val_split': 0.07884281050737987}, MAE: 0.0012139123553290055
Config: {'neurons': [156, 148], 'batch_size': 29, 'val_split': 0.09094700372470718}, MAE: 0.001330122846690421
Config: {'neurons': [158, 150], 'batch_size': 20, 'val_split': 0.010468973569391221}, MAE: 0.0006036283353179037
Config: {'neurons': [160, 152], 'batch_size': 24, 'val_split': 0.024721699141829756}, MAE: 0.004251167167301959
Config: {'neurons': [162, 154], 'batch_size': 13, 'val_split': 0.04799035388616277}, MAE: 0.0015533358690386838
Config: {'neurons': [164, 156], 'batch_size': 33, 'val_split': 0.06838768841892343}, MAE: 0.0005836403483587088
Config: {'neurons': [166, 158], 'batch_size': 31, 'val_split': 0.18234736644168517}, MAE: 0.009137251996900199
Config: {'neurons': [168, 160], 'batch_size': 30, 'val_split': 0.07441938420814906}, MAE: 0.0015316210763043285
Config: {'neurons': [170, 162], 'batch_size': 20, 'val_split': 0.033621499450186804}, MAE: 0.004715805650377912
Config: {'neurons': [172, 164], 'batch_size': 29, 'val_split': 0.0823898555955514}, MAE: 0.0011163006977111774
Config: {'neurons': [174, 166], 'batch_size': 18, 'val_split': 0.1539070292195031}, MAE: 0.0028543307029062098
Config: {'neurons': [176, 168], 'batch_size': 21, 'val_split': 0.1387876272158284}, MAE: 0.00020484017292801988
Config: {'neurons': [178, 170], 'batch_size': 23, 'val_split': 0.13653795209586778}, MAE: 0.0004725591993576722
Config: {'neurons': [180, 172], 'batch_size': 13, 'val_split': 0.1410629032564127}, MAE: 0.0009986367447090627
Config: {'neurons': [182, 174], 'batch_size': 14, 'val_split': 0.018513320236823616}, MAE: 0.0012736864633780354
Config: {'neurons': [184, 176], 'batch_size': 16, 'val_split': 0.022773224394621816}, MAE: 0.00011025003732869505
New best model saved with MAE: 5.139592015930212e-05 at best_model.h5
Config: {'neurons': [186, 178], 'batch_size': 32, 'val_split': 0.04101317281589817}, MAE: 0.003911905418691335
Config: {'neurons': [188, 180], 'batch_size': 21, 'val_split': 0.06695917985942082}, MAE: 0.0009764459133211678
Config: {'neurons': [190, 182], 'batch_size': 33, 'val_split': 0.024417754676283265}, MAE: 0.00033216067547708563
New best model saved with MAE: 4.2207666310094865e-05 at best_model.h5
Config: {'neurons': [192, 184], 'batch_size': 23, 'val_split': 0.1145285945191073}, MAE: 0.0017042534478535762
Config: {'neurons': [194, 186], 'batch_size': 26, 'val_split': 0.09677434971064927}, MAE: 0.00021591639201590652
Config: {'neurons': [196, 188], 'batch_size': 24, 'val_split': 0.1571511119768501}, MAE: 0.00046644086649635686
Config: {'neurons': [198, 190], 'batch_size': 32, 'val_split': 0.0945352640781588}, MAE: 0.0029800983440751994
Config: {'neurons': [200, 192], 'batch_size': 11, 'val_split': 0.016605850005031036}, MAE: 0.00017019613370812433
Config: {'neurons': [202, 194], 'batch_size': 16, 'val_split': 0.07355671103260292}, MAE: 0.00011228760209490128
Config: {'neurons': [204, 196], 'batch_size': 19, 'val_split': 0.1361804210582386}, MAE: 0.002951394736596581
Config: {'neurons': [206, 198], 'batch_size': 21, 'val_split': 0.09145032749133271}, MAE: 0.00010756035519258046
Config: {'neurons': [208, 200], 'batch_size': 14, 'val_split': 0.06799960330184901}, MAE: 0.0001809095337301599
Config: {'neurons': [210, 202], 'batch_size': 23, 'val_split': 0.03340635722191107}, MAE: 0.0009657694422739728
Config: {'neurons': [212, 204], 'batch_size': 19, 'val_split': 0.049831491835671066}, MAE: 0.00011172735762135807
New best model saved with MAE: 3.286517211374411e-05 at best_model.h5
Config: {'neurons': [214, 206], 'batch_size': 22, 'val_split': 0.07690706730492033}, MAE: 0.0006534279057481907
Config: {'neurons': [216, 208], 'batch_size': 16, 'val_split': 0.11565665472372344}, MAE: 0.006664582880857267
Config: {'neurons': [218, 210], 'batch_size': 15, 'val_split': 0.16690849132865507}, MAE: 4.501091684072343e-05
Config: {'neurons': [220, 212], 'batch_size': 15, 'val_split': 0.013153776604779621}, MAE: 0.0006340615683054294
Config: {'neurons': [222, 214], 'batch_size': 30, 'val_split': 0.1631076804039937}, MAE: 0.0034005742699851895
Config: {'neurons': [224, 216], 'batch_size': 10, 'val_split': 0.11862097287049417}, MAE: 0.008414269636296798
Config: {'neurons': [226, 218], 'batch_size': 14, 'val_split': 0.04733618919340285}, MAE: 0.00023623649571058949
Config: {'neurons': [228, 220], 'batch_size': 25, 'val_split': 0.12010299125920547}, MAE: 0.0036295685533519312
Config: {'neurons': [230, 222], 'batch_size': 22, 'val_split': 0.153207812900079}, MAE: 0.00025813348339059065
Config: {'neurons': [232, 224], 'batch_size': 33, 'val_split': 0.15507577733305655}, MAE: 7.381137788665334e-05
Config: {'neurons': [234, 226], 'batch_size': 14, 'val_split': 0.18475862299203177}, MAE: 0.003422263441870323
Config: {'neurons': [236, 228], 'batch_size': 21, 'val_split': 0.043389887227519075}, MAE: 0.00014007228212358787
Config: {'neurons': [238, 230], 'batch_size': 20, 'val_split': 0.07388276084331558}, MAE: 0.0001065581492073746
Config: {'neurons': [240, 232], 'batch_size': 28, 'val_split': 0.19868152607630143}, MAE: 0.003340903679590949
Config: {'neurons': [242, 234], 'batch_size': 31, 'val_split': 0.02536296575461372}, MAE: 0.00013889016134165146
Config: {'neurons': [244, 236], 'batch_size': 29, 'val_split': 0.11524041860525311}, MAE: 0.0007093861170119609
Config: {'neurons': [246, 238], 'batch_size': 27, 'val_split': 0.18317215499105216}, MAE: 0.005280728136643501
Config: {'neurons': [248, 240], 'batch_size': 25, 'val_split': 0.07865431488930145}, MAE: 0.001702434971556004
Config: {'neurons': [250, 242], 'batch_size': 22, 'val_split': 0.06479932737482128}, MAE: 0.0020802993097099117
Config: {'neurons': [252, 244], 'batch_size': 12, 'val_split': 0.0900138827553284}, MAE: 0.000858223046597729
Config: {'neurons': [254, 246], 'batch_size': 22, 'val_split': 0.15544482115942673}, MAE: 0.0005519491332368933
Config: {'neurons': [256, 248], 'batch_size': 23, 'val_split': 0.10932575378455049}, MAE: 0.00023165959177271373
Config: {'neurons': [258, 250], 'batch_size': 33, 'val_split': 0.03495129605674632}, MAE: 0.0014515635335204038
Config: {'neurons': [260, 252], 'batch_size': 24, 'val_split': 0.10337850492527237}, MAE: 0.000305517994693221
Config: {'neurons': [262, 254], 'batch_size': 21, 'val_split': 0.09643239687783606}, MAE: 0.0002673899776489544
Config: {'neurons': [264, 256], 'batch_size': 18, 'val_split': 0.05986659260470384}, MAE: 0.00175028661315353
Config: {'neurons': [266, 258], 'batch_size': 24, 'val_split': 0.11993742022087586}, MAE: 0.00011222612074230429
Config: {'neurons': [268, 260], 'batch_size': 31, 'val_split': 0.08721130528635355}, MAE: 0.00030018078042023586
Config: {'neurons': [270, 262], 'batch_size': 26, 'val_split': 0.09138252301307714}, MAE: 0.005813255460810225
Config: {'neurons': [272, 264], 'batch_size': 14, 'val_split': 0.16491084698832165}, MAE: 0.0024225093004253693
Config: {'neurons': [274, 266], 'batch_size': 19, 'val_split': 0.17149854077849952}, MAE: 0.00015105018070657385
Config: {'neurons': [276, 268], 'batch_size': 32, 'val_split': 0.10492420275157814}, MAE: 0.0016736969721406374
Config: {'neurons': [278, 270], 'batch_size': 13, 'val_split': 0.1924769133055936}, MAE: 0.0015095430589297308
Config: {'neurons': [280, 272], 'batch_size': 18, 'val_split': 0.08980989923887304}, MAE: 0.00024010584969315577
Config: {'neurons': [282, 274], 'batch_size': 11, 'val_split': 0.0650446069126972}, MAE: 0.00264307580408701
Config: {'neurons': [284, 276], 'batch_size': 15, 'val_split': 0.1667221363845452}, MAE: 0.008686123710442816
Config: {'neurons': [286, 278], 'batch_size': 20, 'val_split': 0.0450081795902994}, MAE: 0.0004710391641498891
Config: {'neurons': [288, 280], 'batch_size': 13, 'val_split': 0.17005789518689252}, MAE: 0.0034726142649587747
Config: {'neurons': [290, 282], 'batch_size': 33, 'val_split': 0.04047049554506238}, MAE: 8.148670128114272e-05
Config: {'neurons': [292, 284], 'batch_size': 33, 'val_split': 0.13115634085401434}, MAE: 0.001074710025016082
Config: {'neurons': [294, 286], 'batch_size': 26, 'val_split': 0.12246047856036614}, MAE: 0.0017364367211829131
Config: {'neurons': [296, 288], 'batch_size': 24, 'val_split': 0.116239656337609}, MAE: 0.0015870487661418912
Config: {'neurons': [298, 290], 'batch_size': 20, 'val_split': 0.11081024576489175}, MAE: 8.751075592722886e-05
Config: {'neurons': [300, 292], 'batch_size': 16, 'val_split': 0.16777736259920684}, MAE: 0.0012956529554743906
Config: {'neurons': [302, 294], 'batch_size': 21, 'val_split': 0.16757188022468306}, MAE: 0.00012666663898096503
Config: {'neurons': [304, 296], 'batch_size': 16, 'val_split': 0.17374867566264998}, MAE: 5.665344971898248e-05
Config: {'neurons': [306, 298], 'batch_size': 26, 'val_split': 0.0891127740989194}, MAE: 0.000887549962725168
Config: {'neurons': [308, 300], 'batch_size': 26, 'val_split': 0.16679266345164462}, MAE: 7.3828506224016e-05
Config: {'neurons': [310, 302], 'batch_size': 18, 'val_split': 0.19878118364392985}, MAE: 0.0008877913189313687
Config: {'neurons': [312, 304], 'batch_size': 16, 'val_split': 0.027686825423110073}, MAE: 0.0014952395556749375
Config: {'neurons': [314, 306], 'batch_size': 21, 'val_split': 0.1416615974854839}, MAE: 0.00022350324935282412
Config: {'neurons': [316, 308], 'batch_size': 29, 'val_split': 0.1435523290836508}, MAE: 0.00026610472939433673
Config: {'neurons': [318, 310], 'batch_size': 31, 'val_split': 0.0893037729788645}, MAE: 0.0038294122071282246
Config: {'neurons': [320, 312], 'batch_size': 15, 'val_split': 0.1735288999537946}, MAE: 0.0004344734025495869
Config: {'neurons': [322, 314], 'batch_size': 23, 'val_split': 0.12914162669387763}, MAE: 0.0012602418834204287
Config: {'neurons': [324, 316], 'batch_size': 22, 'val_split': 0.196711977912635}, MAE: 0.001145872910159444
Config: {'neurons': [326, 318], 'batch_size': 31, 'val_split': 0.1866398082047257}, MAE: 3.513404651069464e-05
New best model saved with MAE: 3.1808540978988254e-05 at best_model.h5
Config: {'neurons': [328, 320], 'batch_size': 11, 'val_split': 0.1490513123073912}, MAE: 0.00027111321131350735
Config: {'neurons': [330, 322], 'batch_size': 21, 'val_split': 0.06940335776925635}, MAE: 0.0012680445447296805
Config: {'neurons': [332, 324], 'batch_size': 14, 'val_split': 0.09241009400255988}, MAE: 0.0034486405368452456
Config: {'neurons': [334, 326], 'batch_size': 31, 'val_split': 0.16314796292986875}, MAE: 0.006113481073948177
Config: {'neurons': [336, 328], 'batch_size': 29, 'val_split': 0.028979437599920027}, MAE: 0.0008801721177081709
Config: {'neurons': [338, 330], 'batch_size': 21, 'val_split': 0.16307703217479605}, MAE: 0.00013805843842905116
Config: {'neurons': [340, 332], 'batch_size': 22, 'val_split': 0.09172153155100811}, MAE: 0.0004917752736168093
Config: {'neurons': [342, 334], 'batch_size': 10, 'val_split': 0.08370501830444432}, MAE: 0.001848670205139021
Config: {'neurons': [344, 336], 'batch_size': 14, 'val_split': 0.12845547441368083}, MAE: 0.0005745622376605777
Config: {'neurons': [346, 338], 'batch_size': 28, 'val_split': 0.05919252434890715}, MAE: 0.00033649525639139897
Config: {'neurons': [348, 340], 'batch_size': 12, 'val_split': 0.1367862887876851}, MAE: 0.0008918489478226381
Config: {'neurons': [350, 342], 'batch_size': 20, 'val_split': 0.06589262109228933}, MAE: 0.0005766087629251994
Config: {'neurons': [352, 344], 'batch_size': 10, 'val_split': 0.18276081450320605}, MAE: 0.0008265064811951356
Config: {'neurons': [354, 346], 'batch_size': 25, 'val_split': 0.12242526183051491}, MAE: 0.0010839706362379584
Config: {'neurons': [356, 348], 'batch_size': 10, 'val_split': 0.06671870518872083}, MAE: 0.0070099445513075375
Config: {'neurons': [358, 350], 'batch_size': 24, 'val_split': 0.01563607015148133}, MAE: 0.0022111725824502534
Config: {'neurons': [360, 352], 'batch_size': 32, 'val_split': 0.1336038200905728}, MAE: 0.001971248423330184
Config: {'neurons': [362, 354], 'batch_size': 12, 'val_split': 0.09053672998897833}, MAE: 0.00022660544313942818
Config: {'neurons': [364, 356], 'batch_size': 20, 'val_split': 0.0464315515870084}, MAE: 0.00023307401196087703
Config: {'neurons': [366, 358], 'batch_size': 22, 'val_split': 0.15439173870027267}, MAE: 0.0013737188693924327
Config: {'neurons': [368, 360], 'batch_size': 17, 'val_split': 0.14209439063548157}, MAE: 0.0012061022993923654
Config: {'neurons': [370, 362], 'batch_size': 23, 'val_split': 0.023026019640165152}, MAE: 0.0005806302883310312
Config: {'neurons': [372, 364], 'batch_size': 18, 'val_split': 0.19716650482812523}, MAE: 0.002480770926030847
Config: {'neurons': [374, 366], 'batch_size': 21, 'val_split': 0.10697506681958706}, MAE: 5.500766849041752e-05
Config: {'neurons': [376, 368], 'batch_size': 17, 'val_split': 0.08967890495497773}, MAE: 0.00045012262334909447
Config: {'neurons': [378, 370], 'batch_size': 18, 'val_split': 0.08127320649799664}, MAE: 0.004748994423813825
Config: {'neurons': [380, 372], 'batch_size': 23, 'val_split': 0.111146329124425}, MAE: 9.463234602429792e-05
